Sample Name,Sample ID,Region,lat,long,origin,Phase,xco2,x3he,x4he
Quilaquin,W,SVZ,-37.61,-71.41,published,W,0.999909221751659,5.37585606713293E-10,9.07777107551992E-05
Copahue,COP-CC3-W-15,SVZ,-37.84,-71.19,published,W,,,
Termas Aguas Cal.,,SVZ,-40.72,-72.33,published,W,,,
Termas Liquine,,SVZ,-39.42,-71.75,published,W,,,
Termas Palguin II,,SVZ,-39.38,-71.78,published,W,,,
Termas Menetue,,SVZ,-39.32,-71.73,published,W,,,
Termas Manzanar,,SVZ,-38.43,-71.67,published,W,,,
Termas Tolhuaca,,SVZ,-38.23,-71.73,published,W,,,
Termas Catillo,,SVZ,-36.28,-71.65,published,W,,,
Termas Cauquenes,,SVZ,-34.25,-70.55,published,W,,,
Termas de Puyehue,PU,SVZ,-40.71,-72.32,published,W,0.999570561854533,2.93991342717719E-09,0.000429435205553
Termas de Chihuio,CH,SVZ,-40.19,-71.93,published,W,0.982794122269098,9.82794122854347E-08,0.01720577945149
Termas de Trafipan,TR,SVZ,-39.74,-71.86,published,W,0.997319880506599,1.66219979932936E-08,0.002680102871403
Eco Termas Pellaifa,PF,SVZ,-39.63,-71.92,published,W,0.999945416256613,2.59053237994483E-10,5.45834843335E-05
Termas de Con˜ aripe,CO,SVZ,-39.63,-71.92,published,W,0.999873496812725,6.53512057863974E-10,0.000126502533763
Parque Termal Menetùe,ME,SVZ,-39.33,-71.72,published,W,0.999512500820673,3.44659487641575E-09,0.000487495732732
Termas de Rio Blanco,RB,SVZ,-39.11,-71.61,published,W,0.999870569622408,6.45077818554407E-10,0.000129429732515
Termas de Coyuco,CU,SVZ,-38.19,-71.04,published,W,0.999998954553513,8.62064318275057E-12,1.04543786595958E-06
Termas de Pemehue,PE,SVZ,-38.08,-71.7,published,W,0.99962867275012,2.43811868442948E-09,0.000371324811761
Pucon Mahuida,PM,SVZ,-37.9,-71.18,published,W,0.99999799383667,1.73009643403094E-11,2.00614602893966E-06
Trapa Trapa,TT,SVZ,-37.7,-71.28,published,W,0.983953690089794,9.83953690088246E-08,0.016046211514837
Termas de Catillo,CH-CT200308,SVZ,-36.29,-71.65,this_study,W,0.999702101076045,2.71087863311717E-10,0.000297898652867
El Medano,CH-EM-200301,SVZ,-35.82,-70.76,this_study,W,0.999977834520455,2.91697535436287E-11,2.21654503751687E-05
Panamavida,CH-PM200308,SVZ,-35.76,-71.42,this_study,W,0.999967590630402,4.40118115766614E-11,3.24093255866624E-05
Termas del Flaco,CH-TF200303,SVZ,-34.96,-70.43,this_study,W,0.99999615101713,7.27470509555289E-12,3.84897559494243E-06
Auco,CH-AU200310,SVZ,-32.89,-70.71,this_study,W,0.999999565463941,5.84089012840416E-13,4.34535474491002E-07
Volcan Ollaque,,CVZ,-21.3,-68.18,published,G,,,
Volcan Olca,,CVZ,-20.95,-68.47,published,G,,,
Vocan Irruptupuncu,,CVZ,-20.73,-68.53,published,G,,,
Mina Conception,,CVZ,-20.58,-68.35,published,G,,,
Canto,,CVZ,-19.9,-68.62,published,G,,,
Volcan Isluga,,CVZ,-19.17,-68.83,published,G,,,
Surire-4,,CVZ,-18.92,-68.65,published,G,,,
Surire-2,,CVZ,-18.92,-68.65,published,G,,,
Rio Junthuma,,CVZ,-18.1,-69.03,published,G,,,
Tacora,TAC1,CVZ,-17.7,-69.79,published,G,,,
Tacora,TAC6,CVZ,-17.7,-69.79,published,G,,,
Tacora,TAC8,CVZ,-17.7,-69.79,published,G,,,
Lascar,Las11,CVZ,-23.36,-67.73,published,G,0.999994097469812,6.02406214562007E-11,5.90246994721869E-06
Lascar,Las3,CVZ,-23.36,-67.73,published,G,,,
Lascar,Las6,CVZ,-23.36,-67.73,published,G,,,
Lascar,Las7,CVZ,-23.36,-67.73,published,G,,,
Lascar,Las9,CVZ,-23.36,-67.73,published,G,,,
Lascar,Las14,CVZ,-23.36,-67.73,published,G,,,
Torta de Tocorpuri,TT06,CVZ,-22.38,-67.5,published,G,0.999931847486276,1.24991455391094E-10,6.81523887327069E-05
ElTatio,ET03,CVZ,-22.33,-68.01,published,G,0.999998438920821,6.09751969789992E-12,1.5610730816268E-06
ElTatio,ETO 1,CVZ,-22.33,-68.01,published,G,0.99999929167594,2.9154345079829E-12,7.0832114430491E-07
Pampa Apacheta,PA01,CVZ,-21.83,-68.16,published,G,0.99999373600763,1.587289815221E-11,6.26397649746075E-06
Pampa Lirima,PL06,CVZ,-19.84,-68.83,published,G,0.999934473394542,9.99933105473539E-11,6.5526505464911E-05
Puchuldiza-Tuja,PT02,CVZ,-19.43,-68.91,published,G,0.999995946626438,1.51514141190755E-11,4.05335841004928E-06
Puchuldiza-Tuja,PT04,CVZ,-19.43,-68.91,published,G,0.999998016420252,7.69223960227797E-12,1.98357205621504E-06
Puchuldiza-Tuja,PT11,CVZ,-19.43,-68.91,published,G,0.99999923464744,3.2894749354693E-12,7.65349270964035E-07
Surire,S01,CVZ,-18.83,-69.06,published,G,0.999999344250759,2.50625822814326E-12,6.55746734871427E-07
Surire,S05,CVZ,-18.83,-69.06,published,G,0.999999506007987,1.65280180367472E-12,4.93990360271293E-07
Tacora,TAC10,CVZ,-17.7,-69.79,published,G,0.999959125004856,3.09584886670549E-10,4.08746855588271E-05
Tacora,TAC9,CVZ,-17.7,-69.79,published,G,0.999963127084494,3.03019190888896E-10,3.68726124871676E-05
Alitar,Al5,CVZ,-23.14,-67.65,published,G,0.99999631658476,2.47524124770955E-11,3.68339048718455E-06
Alitar,Al2,CVZ,-23.14,-67.65,published,G,,,
Alitar,Al6,CVZ,-23.14,-67.65,published,G,,,
Putana,Pu4,CVZ,-22.56,-67.85,published,G,0.999994250549378,5.74709276115053E-11,5.74939315122243E-06
Putana,Pu1,CVZ,-22.56,-67.85,published,G,,,
Putana,Pu3,CVZ,-22.56,-67.85,published,G,,,
Olca,Ol1,CVZ,-20.94,-68.48,published,G,0.99999320322223,5.81390931228958E-11,6.79671963084202E-06
Olca,Ol2,CVZ,-20.94,-68.48,published,G,,,
Irruputuncu,Ir1,CVZ,-20.73,-68.55,published,G,0.999994773850191,5.31910954635102E-11,5.22609661770585E-06
Irruputuncu,Ir8,CVZ,-20.73,-68.55,published,G,,,
Lastarria,LSTG-19,CVZ,-25.15,-68.52,published,G,0.999992234341407,5.55551453076925E-11,7.76560303747249E-06
Lastarria,LSTG-21,CVZ,-25.15,-68.52,published,G,0.999992755725459,4.99997297635652E-11,7.2442245416217E-06
Lastarria,LSTG-16,CVZ,-25.15,-68.52,published,G,0.999996235632277,3.03029454658168E-11,3.76433742003492E-06
Lastarria,LSTG-18,CVZ,-25.15,-68.52,published,G,0.999997483298969,2.17390659035884E-11,2.51667929195307E-06
